question_id,question,answer,latency,tokens,success
Q11,My landlord refused to rent to me because I have two young children. Is that legal anywhere in the U.S.?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q12,I use a wheelchair and need to install grab bars in my bathroom. Can my landlord say no?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q13,Is it legal for a rental ad to say 'perfect for young professionals'?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q14,"My landlord says emotional support animals aren’t allowed,  but I have a doctor’s note. What are my rights?","Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q15,I’m on Section 8 in Chicago. My landlord says the unit failed inspection—how long do they have to fix it?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q16,I got a pay raise. How soon do I need to report it to my Public Housing Authority?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q17,Can my PHA evict me without a hearing if I’m late on my portion of the rent?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q18,Which state offers stronger rent control: California or Texas?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q19,"If I live in a HUD-subsidized apartment in California,  which rules apply—federal","Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q20,"My landlord in San Antonio won’t fix a broken heater in January. Would the rules be different if I lived in San Francisco?  State,  or local?","Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
